parishId,parishSlug,parishName,website,type,lat,long,parishAddress,parishDiocese,parishDioceseSlug,dioceseUrl,parishFamily,parishFamilySlug,parishDeanery,parishDeanerySlug,sundayMassTimes,dailyMassTimes,latinMass,confessionTimes,adorationTimes,overnightAdoration,benedictionTimes,devotions,parishCityCounty,parishCityCountySlug,parishProvinceState,provinceStateSlug,parishCountry,parishCountrySlug,parishPhone,parishEmail,parishNationality,parishPhotos,cathedral,basilica,shareBuildingSlug,shareBuildingName,parishesNotes,parishesLastUpdate
71,all-saints-parkhill,All Saints,https://westmiddlesexcatholic.dol.ca,Parish,43.158717,-81.68792,"159 Ann St, Parkhill, ON N0M 2K0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,West Middlesex Catholic Family of Parishes,west-middlesex-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 08:00; Sunday 11:00,Tuesday 18:30; Wednesday 18:30 (Portuguese); Thursday 09:00; Friday 09:00,,Saturday 16:00-16:45,Friday 09:30-12:00,,,,Parkhill,parkhill-ontario-canada,Ontario,ontario,Canada,canada,519-245-0644,allsaints@dol.ca,Portuguese,,,,,,,11/30/2025
72,st-charles-garnier-glencoe,St. Charles Garnier,https://westmiddlesexcatholic.dol.ca,Parish,42.75508,-81.704936,"244 Stella Ave, Glencoe, ON N0L 1M0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,West Middlesex Catholic Family of Parishes,west-middlesex-catholic-family-of-parishes,London,london-diocese-of-london-canada,Sunday 09:00,Wednesday 18:30,,Wednesday 17:00-18:15,,,,,Glencoe,glencoe-ontario-canada,Ontario,ontario,Canada,canada,519-245-0644,allsaints@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stcharles.webp,,,,,,11/30/2025
73,holy-angels-st-thomas,Holy Angels,https://elginrcparishes.ca,Parish,42.778551,-81.19404,"502 Talbot St, St Thomas, ON N5P 1C2, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Elgin Roman Catholic Family of Parishes,elgin-roman-catholic-family-of-parishes,London,london-diocese-of-london-canada,Sunday 09:00; Sunday 12:30 (Latin),Monday 08:00; Wednesday 12:00; Friday 12:00; Second Saturday 08:00; Fourth Saturday 08:00; Fifth Saturday 08:00,yes,Monday 07:30-08:00; Friday 11:30-12:00,,,,,St Thomas,st-thomas-ontario-canada,Ontario,ontario,Canada,canada,(519) 631-3640,pkeller@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/holyangels.webp,,,,,,11/30/2025
74,our-lady-of-sorrows-aylmer,Our Lady of Sorrows,https://elginrcparishes.ca,Parish,42.77151002,-80.98348492,"116 John St S, Aylmer, ON N5H 2C4, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Elgin Roman Catholic Family of Parishes,elgin-roman-catholic-family-of-parishes,London,london-diocese-of-london-canada,Sunday 09:30,Tuesday 10:00,,Tuesday 09:30-10:00,First Saturday 08:30,,,,Aylmer,aylmer-ontario-canada,Ontario,ontario,Canada,canada,(519) 631-3640,pkeller@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/ourladyofsorrows.webp,,,,,,11/30/2025
75,st-anne-st-thomas,St. Anne,https://elginrcparishes.ca,Parish,42.7661808,-81.1720006,"20 Morrison Dr, St Thomas, ON N5R 4S6, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Elgin Roman Catholic Family of Parishes,elgin-roman-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 16:30; Sunday 11:00,Tuesday 08:00; Wednesday 08:00; Thursday 09:15; Friday 08:00,,Tuesday 18:00-19:00,Tuesday 18:00-19:00,,,,St Thomas,st-thomas-ontario-canada,Ontario,ontario,Canada,canada,(519) 631-3640,pkeller@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stanne1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stanne2.webp,,,,,,11/30/2025
76,st-mary-west-lorne,St. Mary,https://elginrcparishes.ca,Parish,42.6054658,-81.6032267,"128 Main St, West Lorne, ON N0L 2P0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Elgin Roman Catholic Family of Parishes,elgin-roman-catholic-family-of-parishes,London,london-diocese-of-london-canada,Sunday 10:00,Thursday 10:00; Third Saturday 09:00,,Thursday 09:00-10:00; Third Saturday 09:00-10:30,Thursday 09:00-10:00,,,,West Lorne,west-lorne-ontario-canada,Ontario,ontario,Canada,canada,(519) 631-3640,pkeller@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stmary.webp,,,,,,11/30/2025
77,st-helen-wallacetown,St. Helen,https://elginrcparishes.ca,Parish,42.6323051,-81.4680809,"29533 Talbot Line, Wallacetown, ON N0L 2M0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Elgin Roman Catholic Family of Parishes,elgin-roman-catholic-family-of-parishes,London,london-diocese-of-london-canada,Sunday 08:30,,,,,,,,Wallacetown,wallacetown-ontario-canada,Ontario,ontario,Canada,canada,(519) 631-3640,pkeller@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/sthelen.webp,,,,,,11/30/2025
78,st-patrick-lucan,St. Patrick,https://wearelighthouse.ca,Parish,43.1746063,-81.370427,"32922 Richmond St, Lucan, ON N0M 2J0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Lucan Northwest London Catholic Family of Parishes,lucan-northwest-london-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 09:00; Sunday 11:00,Tuesday 19:00; Wednesday 09:00; Thursday 09:15; Friday 09:00,,Saturday 11:00-12:00,,,,,Lucan,lucan-ontario-canada,Ontario,ontario,Canada,canada,(519) 227-4726,stpatlucan@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stpatrick.webp,,,,,,11/30/2025
79,holy-family-london,Holy Family,https://wearelighthouse.ca,Parish,42.9756258,-81.3024437,"777 Valetta St, London, ON N6H 2Y9, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Lucan Northwest London Catholic Family of Parishes,lucan-northwest-london-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 08:30; Sunday 11:00; Sunday 14:00,Tuesday 18:30; Wednesday 10:00; Thursday 10:00; Friday 10:00,,Saturday 11:00-12:00,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,(519) 472-0057,hfparish@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/holyfamily1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/holyfamily2.webp,,,,,"The Church is open Wednesday, Thursday, and Friday mornings at 9:00am for personal prayer before the 10:00am Mass. Tuesday evenings the church opens at 6:00pm for prayer ahead of the 6:30pm Mass.;Every Wednesday, the church stays open for Holy Grounds Café, which runs after the 10:00am Mass until 12:00pm. At any other time of the week during business hours: 9:00am-12:00pm and 1:00pm-4:30pm, just ring the doorbell and the church will be opened for you.;On Fridays, the church stays open for Eucharistic Adoration until 4:00pm (8:00pm during Lent, which includes 7:00pm Stations of the Cross)",11/30/2025
80,st-george-london,St. George,https://www.springbankcatholic.ca,Parish,42.957592,-81.32682,"1164 Commissioners Rd W, London, ON N6K 4J2, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Springbank Catholic Family of Parishes,springbank-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 09:00; Sunday 11:00,Tuesday 18:30; Friday 09:30,,Tuesday 19:00-20:00,Tuesday 19:00-20:00,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-471-4220,springbankcatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stgeorge.webp,,,,,,11/30/2025
81,st-john-the-divine-london,St. John the Divine,https://www.springbankcatholic.ca,Parish,42.962527,-81.278695,"390 Base Line Rd W, London, ON N6J 1W1, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Springbank Catholic Family of Parishes,springbank-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 10:00,Wednesday 09:00; Thursday 09:00,,Thursday 09:30-10:30,Thursday 09:30-10:30,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-471-4220,springbankcatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stjohnthedivine.webp,,,,,,11/30/2025
82,our-lady-of-czestochowa-london,Our Lady of Czestochowa,https://familyofparishes.ca/index.php,Parish,42.97802,-81.234219,"419 Hill St, London, ON N6B 1E5, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,London East Central Catholic Family of Parishes,london-east-central-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00 (Polish); Sunday 08:00; Sunday 10:00 (Polish); Sunday 12:00 (Polish),Tuesday 19:00 (Polish); Thursday 19:00 (Polish); Friday 19:00 (Polish); First Saturday 09:00 (Polish),,Tuesday 18:00-19:00; Thursday 18:00-19:00; Friday 18:00-19:00; Saturday 16:00-17:00,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-672-0088,olc@dol.ca,Polish,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/ourladyofczestochowa.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/ourladyofczestochowa2.webp,,,,,,11/30/2025
83,st-mary-london,St. Mary,https://familyofparishes.ca/index.php,Parish,42.987187,-81.228147,"345 Lyle St, London, ON N5W 3R3, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,London East Central Catholic Family of Parishes,london-east-central-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 10:00 (Italian); Sunday 12:00,Monday 19:00; Wednesday 19:00 (Italian); Friday 19:00 (Italian),,Monday 18:30-19:00; Wednesday 18:30-19:00; Friday 18:30-19:00; Saturday 16:00-17:00,Monday 09:00-18:00; Tuesday 09:00-18:00; Wednesday 09:00-18:00; Thursday 09:00-18:00; Friday 09:00-18:00,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-434-9121,stmarylondon@dol.ca,Italian,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stmarylondon.webp,,,,,,11/30/2025
84,st-patrick-london,St. Patrick,https://familyofparishes.ca/index.php,Parish,42.995722,-81.206764,"377 Oakland Ave, London, ON N5W 5R4, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,London East Central Catholic Family of Parishes,london-east-central-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 10:00,Tuesday 19:00; Wednesday 09:00; Thursday 09:00,,Tuesday 18:00-19:00; Saturday 16:00-17:00,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-451-4600,stpatrick@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stpatrick1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stpatrick2.webp,,,st-stephen-of-hungary-london,St. Stephen of Hungary,,11/30/2025
85,st-stephen-of-hungary-london,St. Stephen of Hungary,https://familyofparishes.ca/index.php,Catholic Community,42.995443,-81.2067,"377 Oakland Ave, London, ON N5W 5R4, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,London East Central Catholic Family of Parishes,london-east-central-catholic-family-of-parishes,London,london-diocese-of-london-canada,,,,,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-451-4600,stpatrick@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stpatrick1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stpatrick2.webp,,,st-patrick-london,St. Patrick,,11/30/2025
86,st-francis-st-martin-of-tours-london,St. Francis - St. Martin of Tours,https://francismartin.dol.ca,Parish,42.969809,-81.254062,"46 Cathcart St, London, ON N6C 3L7, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,London South Catholic Family of Parishes,london-south-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 18:30 (Spanish); Sunday 09:00; Sunday 11:30 (Spanish),Tuesday 08:00; Wednesday 18:00 (Spanish); Thursday 18:00 (Spanish); Friday 18:00 (Spanish),,Wednesday 17:30-18:00; Friday 17:30-18:00,Thursday 17:00-18:00,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,(519) 433-8175,,Spanish,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stfrancisstmartin.webp,,,,,,11/30/2025
87,st-justin-london,St. Justin,https://francismartin.dol.ca,Parish,42.940862,-81.237904,"855 Jalna Blvd, London, ON N6E 2S2, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,London South Catholic Family of Parishes,london-south-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 16:30; Sunday 08:30; Sunday 11:00; Sunday 16:00,Tuesday 18:30; Wednesday 18:30; Thursday 12:00; Friday 08:00,,Wednesday 18:00-18:30; Saturday 11:00,Friday 08:30-09:30,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,(519) 685-2795,,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stjustin.webp,,,,,,11/30/2025
88,st-leopold-mandic-london,St. Leopold Mandic,https://francismartin.dol.ca,Parish,42.902,-81.2007,"2889 Westminster Dr, London, ON N6N 1L7, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,London South Catholic Family of Parishes,london-south-catholic-family-of-parishes,London,london-diocese-of-london-canada,Sunday 11:00 (Croatian),Thursday 18:00 (Croatian); Friday 18:00 (Croatian),,Thursday 17:30-18:00; Friday 17:30-18:00,Thursday 18:30,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,(519) 681-8472,,Croatian,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stleopoid.webp,,,,,,11/30/2025
89,st-andrew-the-apostle-london,St. Andrew the Apostle,https://fanshawe-thames.dol.ca,Parish,43.024016,-81.202596,"1 Fallons Ln, London, ON N5V 5C1, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Fanshawe Thames Catholic Family of Parishes,fanshawe-thames-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 11:00,Monday 08:00; Tuesday 08:00; Wednesday 08:00; Thursday 08:00; Saturday 08:00,,Saturday 08:30-09:30,Saturday 08:30-09:30; Saturday 16:00-16:45,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519 455-8624 ,standrew@dol.ca ,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/standrewtheapostle.webp,,,ste-marguerite-d-youville-london; our-lady-of-the-holy-rosary-london,Ste-Marguerite-d'Youville; Our Lady of the Holy Rosary,,11/30/2025
90,holy-cross-santa-cruz-london,Holy Cross Santa Cruz,https://fanshawe-thames.dol.ca,Parish,42.979817,-81.20737,"10 Elm St, London, ON N5Z 2K2, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Fanshawe Thames Catholic Family of Parishes,fanshawe-thames-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00 (Portuguese); Sunday 09:00 (Portuguese); Sunday 11:00,Wednesday 18:30 (Portuguese); Thursday 09:00; Friday 09:00 (Portuguese),,Wednesday 18:00-18:30; Thursday 08:30-09:00; Friday 09:30-10:30; Saturday 16:00-16:45; Sunday 08:30-09:00; Sunday 10:30-11:00,Friday 09:30-10:30,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519 455-4740,holycross@dol.ca,Portuguese,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/holycrosssantacruz.webp,,,,,,11/30/2025
91,mary-immaculate-london,Mary Immaculate,https://fanshawe-thames.dol.ca,Parish,42.993693,-81.166477,"1980 Trafalgar St, London, ON N5V 1A2, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Fanshawe Thames Catholic Family of Parishes,fanshawe-thames-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 09:00; Sunday 13:00,Tuesday 18:30; Wednesday 18:30; Friday 08:00,,Friday 08:30-09:30; Saturday 16:00-16:45,Friday 08:30-09:30,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519 455-3217,maryimmaculate@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/maryimmaculate1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/maryimmaculate2.webp,,,our-lady-of-siluva-london,Our Lady of Šiluva,,11/30/2025
92,ste-marguerite-d-youville-london,Ste-Marguerite-d'Youville,https://fanshawe-thames.dol.ca,Catholic Community,43.024518,-81.202365,"1 Fallons Ln, London, ON N5V 5C1, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Fanshawe Thames Catholic Family of Parishes,fanshawe-thames-catholic-family-of-parishes,London,london-diocese-of-london-canada,Sunday 12:30 (French),,,,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,226-919-6407,,French,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/standrewtheapostle.webp,,,st-andrew-the-apostle-london; our-lady-of-the-holy-rosary-london,St. Andrew the Apostle; Our Lady of the Holy Rosary,,11/30/2025
93,our-lady-of-the-holy-rosary-london,Our Lady of the Holy Rosary,https://fanshawe-thames.dol.ca,Catholic Community,43.024455,-81.202971,"1 Fallons Ln, London, ON N5V 5C1, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Fanshawe Thames Catholic Family of Parishes,fanshawe-thames-catholic-family-of-parishes,London,london-diocese-of-london-canada,Sunday 15:00 (Vietnamese),,,,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,,,Vietnamese,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/standrewtheapostle.webp,,,st-andrew-the-apostle-london; ste-marguerite-d-youville-london,St. Andrew the Apostle; Ste-Marguerite-d'Youville,,11/30/2025
94,our-lady-of-siluva-london,Our Lady of Šiluva,https://fanshawe-thames.dol.ca,Catholic Community,42.994278,-81.166198,"1980 Trafalgar St, London, ON N5V 1A2, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Fanshawe Thames Catholic Family of Parishes,fanshawe-thames-catholic-family-of-parishes,London,london-diocese-of-london-canada,First Sunday 11:00 (Lithuanian),,,,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,905-277-4320,,Lithuanian,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/maryimmaculate1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/maryimmaculate2.webp,,,mary-immaculate-london,Mary Immaculate,,11/30/2025
95,st-andrew-kim-london,St. Andrew Kim,https://fanshawe-thames.dol.ca,Catholic Community,42.998001,-81.172013,"258 Clarke Rd, London, ON N5W 5E8, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Fanshawe Thames Catholic Family of Parishes,fanshawe-thames-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 11:00,Tuesday 19:00; Wednesday 10:00; Thursday 19:00; Friday 10:00,,,First Thursday 19:30,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,226-663-8688,Koreanmission@ymail.com,Korean,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/standrewkim.webp,,,,,Confession 30 minutes before Mass By Appointment,11/30/2025
96,the-chapel-at-windermere-on-the-mount-london,"""The Chapel"" at Windermere on the Mount",https://www.kings.uwo.ca/campus-ministry/university-parish/,Parish,43.016313,-81.269265,"1486 Richmond St, London, ON N6G 2M3, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,King's College,kings-college,London,london-diocese-of-london-canada,Sunday 10:00; Sunday 17:00,Tuesday 19:00,,Tuesday 18:30-19:00,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-433-3491,campusministry@kings.uwo.ca,,,,,,,Sunday 17:00 Mass only takes place when classes are in session (during the academic year); You can also Contact Father Chris Gillespie to make an appointment for confession at chris.gillespie@kings.uwo.ca,11/30/2025
97,christ-the-king-chapel-london,Christ the King Chapel,https://www.kings.uwo.ca/campus-ministry/university-parish/,Catholic Church,43.012548,-81.256642,"Wemble Building, 266 Epworth Ave, London, ON N6A 2M3, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,King's College,kings-college,London,london-diocese-of-london-canada,,Thursday 12:00; Friday 12:00,,,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-433-3491,campusministry@kings.uwo.ca,,,,,,,Thursday and Friday Mass only take place during the academic year.,11/30/2025
98,our-lady-of-mount-carmel-mount-carmel,Our Lady of Mount Carmel,https://lakehuroncatholic.ca,Parish,43.255065,-81.616901,"69219 Bronson Line, Parkhill, ON N0M 1N0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Lake Huron Catholic Family of Parishes,lake-huron-catholic-family-of-parishes,Huron-Perth,huronperth-diocese-of-london-canada,Sunday 11:15,,,,,,,,Mount Carmel,mount-carmel-ontario-canada,Ontario,ontario,Canada,canada,1-877-450-6414,LakeHuronCatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/huronperth/ourladyofmountcarmel.webp,,,,,"For Daily Mass times, confession times, and adoration times, please refer to the website as they change on a weekly basis. To see the Daily Mass schedule for the week, go to the website's home page, and click ""Daily Mass Times and Intentions"" under the ""Welcome to our Family of Parishes"" heading. For confession and adoration times, click ""Confession & Adoration"" under the same heading.",12/2/2025
99,st-boniface-zurich,St. Boniface,https://lakehuroncatholic.ca,Parish,43.423884,-81.627935,"22 Mary St, Zurich, ON N0M 2T0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Lake Huron Catholic Family of Parishes,lake-huron-catholic-family-of-parishes,Huron-Perth,huronperth-diocese-of-london-canada,Saturday 17:00; Sunday 08:30,,,,,,,,Zurich,zurich-ontario-canada,Ontario,ontario,Canada,canada,1-877-450-6414,LakeHuronCatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/huronperth/stboniface.webp,,,,,"For Daily Mass times, confession times, and adoration times, please refer to the website as they change on a weekly basis. To see the Daily Mass schedule for the week, go to the website's home page, and click ""Daily Mass Times and Intentions"" under the ""Welcome to our Family of Parishes"" heading. For confession and adoration times, click ""Confession & Adoration"" under the same heading.",12/2/2025
100,st-peter-st-joseph,St. Peter,https://lakehuroncatholic.ca,Parish,43.436783,-81.702549,"73334 Bluewater Hwy, Zurich, ON N0M 2T0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Lake Huron Catholic Family of Parishes,lake-huron-catholic-family-of-parishes,Huron-Perth,huronperth-diocese-of-london-canada,Sunday 11:30,,,,,,,,St Joseph,st-joseph-ontario-canada,Ontario,ontario,Canada,canada,1-877-450-6414,LakeHuronCatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/huronperth/stpeterstjoseph.webp,,,,,"For Daily Mass times, confession times, and adoration times, please refer to the website as they change on a weekly basis. To see the Daily Mass schedule for the week, go to the website's home page, and click ""Daily Mass Times and Intentions"" under the ""Welcome to our Family of Parishes"" heading. For confession and adoration times, click ""Confession & Adoration"" under the same heading.",12/2/2025
101,precious-blood-exeter,Precious Blood,https://lakehuroncatholic.ca,Parish,43.3475,-81.487945,"200 Sanders St W, Exeter, ON N0M 1S2, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Lake Huron Catholic Family of Parishes,lake-huron-catholic-family-of-parishes,Huron-Perth,huronperth-diocese-of-london-canada,Saturday 17:00; Sunday 11:00,,,,,,,,Exeter,exeter-ontario-canada,Ontario,ontario,Canada,canada,1-877-450-6414,LakeHuronCatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/huronperth/preciousblood1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/huronperth/preciousblood2.webp,,,,,"For Daily Mass times, confession times, and adoration times, please refer to the website as they change on a weekly basis. To see the Daily Mass schedule for the week, go to the website's home page, and click ""Daily Mass Times and Intentions"" under the ""Welcome to our Family of Parishes"" heading. For confession and adoration times, click ""Confession & Adoration"" under the same heading.",12/2/2025
102,st-peter-goderich,St. Peter,https://lakehuroncatholic.ca,Parish,43.74825,-81.710644,"156 North St, Goderich, ON N7A 2V3, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Lake Huron Catholic Family of Parishes,lake-huron-catholic-family-of-parishes,Huron-Perth,huronperth-diocese-of-london-canada,Saturday 17:00; Sunday 09:00,,,,,,,,Goderich,goderich-ontario-canada,Ontario,ontario,Canada,canada,1-877-450-6414,LakeHuronCatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/huronperth/stpetergoderich1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/huronperth/stpetergoderich2.webp,,,,,"For Daily Mass times, confession times, and adoration times, please refer to the website as they change on a weekly basis. To see the Daily Mass schedule for the week, go to the website's home page, and click ""Daily Mass Times and Intentions"" under the ""Welcome to our Family of Parishes"" heading. For confession and adoration times, click ""Confession & Adoration"" under the same heading.",12/2/2025
103,immaculate-heart-of-mary-grand-bend,Immaculate Heart of Mary,https://lakehuroncatholic.ca,Parish,43.300907,-81.767056,"337 Ontario St S, Grand Bend, ON N0M 1T0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Lake Huron Catholic Family of Parishes,lake-huron-catholic-family-of-parishes,Huron-Perth,huronperth-diocese-of-london-canada,Sunday 09:00,,,,,,,,Grand Bend,grand-bend-ontario-canada,Ontario,ontario,Canada,canada,1-877-450-6414,LakeHuronCatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/huronperth/immaculateheartofmary.webp,,,,,"For Daily Mass times, confession times, and adoration times, please refer to the website as they change on a weekly basis. To see the Daily Mass schedule for the week, go to the website's home page, and click ""Daily Mass Times and Intentions"" under the ""Welcome to our Family of Parishes"" heading. For confession and adoration times, click ""Confession & Adoration"" under the same heading.",12/2/2025
104,st-patrick-dublin,St. Patrick,https://phccatholic.com,Parish,43.500721,-81.288807,"3931 Perth Rd 180, Dublin, ON N0K 1E0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Perth Huron Crossroads Catholic Family of Parishes,perth-huron-crossroads-catholic-family-of-parishes,Huron-Perth,huronperth-diocese-of-london-canada,Sunday 11:00,Thursday 09:15,,,,,,,Dublin,dublin-ontario-canada,Ontario,ontario,Canada,canada,519-345-2972,phccatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/huronperth/stpatrickdublin.webp,,,,,"Mass Times are subject to change, check the weekly bulletin.",12/2/2025
105,st-james-seaforth,St. James,https://phccatholic.com,Parish,43.552362,-81.392196,"22 Victoria St, Seaforth, ON N0K 1W0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Perth Huron Crossroads Catholic Family of Parishes,perth-huron-crossroads-catholic-family-of-parishes,Huron-Perth,huronperth-diocese-of-london-canada,Saturday 17:00; Sunday 09:00,Wednesday 19:00,,Saturday 11:00-12:00,,,,,Seaforth,seaforth-ontario-canada,Ontario,ontario,Canada,canada,519-345-2972,phccatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/huronperth/stjames.webp,,,,,"Mass Times are subject to change, check the weekly bulletin.; Regarding Wednesday Mass, during the school year, on the 2nd Wednesday of the Month there is a School Mass at 9:15am so no Mass at 7pm",12/2/2025
